UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 36.419998, 3, -77, 9.230000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 36.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 37.430000, 3, -76, 9.010000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 37.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 38.430000, 3, -76, 8.830000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 38.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 39.430000, 3, -77, 8.820000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 39.430000, 3, -95, 13.410000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 40.430000, 3, -78, 8.960000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 40.430000, 3, -95, 14.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 41.430000, 3, -79, 9.210000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 41.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 42.430000, 3, -82, 9.780000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 42.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 43.430000, 3, -81, 10.210000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 43.430000, 3, -96, 14.800000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 44.430000, 3, -82, 10.740000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 44.430000, 3, -96, 15.330000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 45.430000, 3, -79, 10.820000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 45.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 46.430000, 3, -79, 10.880000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 46.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 47.419998, 3, -79, 10.940000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 47.419998, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 48.430000, 3, -78, 10.810000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 48.430000, 3, -92, 13.580000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 49.430000, 3, -76, 10.320000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 49.430000, 3, -92, 12.230000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 50.430000, 3, -74, 9.490000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 50.430000, 3, -92, 11.600000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 51.419998, 3, -76, 9.230000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 51.430000, 3, -90, 10.520000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 52.430000, 3, -80, 9.570000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 52.430000, 3, -91, 10.160000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 53.430000, 3, -89, 9.390000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 53.430000, 3, -80, 9.890000, 5, 8
